,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,S_Vtail,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels
0,1.0,0.2983260527685158,0.5461923221435063,556.6968591565724,1918.9558744385226,LowClb,75.0,111902.97196510962,111902.97196510962,0.7394790479605555,1.5,5.644560710740442,0.12535398377334583,-0.21011500000000002,0.12561729522096335,4.201857126476478,0.7709896364009383,Winglet sizing exceeded iter. lim,556.6968591565724,437.428951415491,0.0,52.254400000000004,504.4424591565724,0.5763301941445091,10.688322785694432,0.47946000780154563,-1.9581357679299916,1.296928021433329,55.66368777142376,0.25231991933850256,0.0,0.014594809175303324,0.0
1,2.0,0.3622530640760549,0.8042887986068087,547.2122270242771,1871.194150938286,LowClb,75.0,111902.97196510962,111902.97196510962,0.5930303441465492,1.5,5.545151700510254,0.09716769876706216,0.01,0.09749361047812086,4.11148529899449,0.7612274301806298,Fuselage too big,547.2122270242771,426.6093854509666,0.0,52.254400000000004,494.9578270242771,0.8674371321495568,10.475081869889904,0.5312290555566109,0.2136348941302227,1.271540920245779,54.71533412571809,0.2595887664450259,0.0,0.014594809175303324,0.0
2,3.0,0.4261800753835941,1.046848423801152,470.2044712616919,1571.379391919419,LowClb,75.0,111902.97196510962,111902.97196510962,0.42066761600003966,1.5,4.919278241163307,0.10102906319105535,0.014522168748943687,0.10145630775592993,3.5425094268609016,0.6966301925567452,Fuselage too big,470.2044712616919,358.49001515274966,0.0,52.254400000000004,417.95007126169185,1.2118569905069325,9.086667091381221,0.43165446549650593,0.28051366464857086,1.1085541062358701,47.01147881712862,0.31473616436911084,0.0,0.014594809175303324,0.0
3,4.0,0.4901070866911332,1.2827156759470248,413.7929974270901,1349.9451564365013,LowClb,75.0,111902.97196510962,111902.97196510962,0.3121907955173213,1.5,4.458775235739213,0.10852332261787448,0.021487964266927014,0.10905859663897421,3.1238703310208167,0.6449828821383901,CL > CLmax,413.7929974270901,308.3693808912216,0.0,52.254400000000004,361.5385974270901,1.6151075236633563,8.08117206565223,0.36133400195537735,0.37084485441239035,0.9845666299126214,41.37157395794284,0.37002269315431274,0.0,0.014594809175303324,0.0
4,5.0,0.5540340979986723,1.5150195115179914,379.4757097371387,1214.2890631320997,LowClb,75.0,111902.97196510962,111902.97196510962,0.2470988821411694,1.5,4.176049140430611,0.11593602342247228,0.029734157703371716,0.11657009079611527,2.866846608012995,0.6111152488147629,CL > CLmax,379.4757097371387,277.597787541679,0.0,52.254400000000004,327.2213097371387,2.0788142388836066,7.47174778779135,0.3243024008730014,0.47361033247821693,0.9063611044247403,37.94059983773697,0.41349168409656084,0.0,0.014594809175303324,0.0
5,6.0,0.6179611093062114,1.7451835053354416,354.2533826766354,1113.4762573805874,LowClb,75.0,111902.97196510962,111902.97196510962,0.20214953120688336,1.5,3.965938377665618,0.12833740646354633,0.0420740625252517,0.12902227696838378,2.6758368236811827,0.5846768503941472,CL > CLmax,354.2533826766354,254.7295661165948,0.0,52.254400000000004,301.99898267663536,2.5979881370782576,7.02336604168337,0.2988177537386924,0.6162705126026025,0.8470393955347715,35.418921456345934,0.4524184538816612,0.0,0.014594809175303324,0.0
6,7.0,0.6818881206137506,1.9739563182513156,214.33034466348664,570.6659838511035,LowClb,75.0,111902.97196510962,111902.97196510962,0.08884787579785994,0.929693591701984,2.8345363071689276,0.13264227823133073,0.06843589772652514,0.13339987598048042,1.6472894868660102,0.41425577809932035,1,214.33034466348664,131.5890247733802,0.0,52.254400000000004,162.07594466348664,1.9816176259314997,4.649901779905076,0.1249070992585405,0.8958429255606438,0.5022760821804355,21.426983095620145,0.8907964724747811,0.0,0.014594809175303324,0.0
7,8.0,0.7458151319212897,2.201771640631331,182.0411620354524,443.8435892843477,LowClb,75.0,111902.97196510962,111902.97196510962,0.06105532696945702,0.7219509764776663,2.5702495822749922,0.14012941306640445,0.09160523881818047,0.14082704698496512,1.4070288278715237,0.3630995780446078,1,182.0411620354524,102.8243519643785,0.0,52.254400000000004,129.7867620354524,1.843045825164077,4.110959886427944,0.09819673675901264,1.1441560660709162,0.41209157314391404,18.19547930269369,1.1438858716390357,0.0,0.014594809175303324,0.0
8,9.0,0.8097421432288289,2.4288989070496907,171.69227572391992,401.9626255605979,LowClb,75.0,111902.97196510962,111902.97196510962,0.050081912639939434,0.6271527253320337,2.482975132287578,0.1474851321474346,0.11320085497477497,0.14811324439600493,1.327688418792056,0.3445422191489327,1,171.69227572391992,93.32549802276998,0.0,52.254400000000004,119.43787572391992,1.888988581581579,3.935477366709494,0.09215968881421722,1.3771110350893598,0.3809808597558763,17.161334829487497,1.2617305305365993,0.0,0.014594809175303324,0.0
9,10.0,0.873669154536368,2.6555146725071364,167.80970488234502,385.17499225125647,LowClb,75.0,111902.97196510962,111902.97196510962,0.044118695216927406,0.5681190737259072,2.447990622811953,0.1549138503333656,0.13520785992853865,0.15546038918637134,1.2958843192687606,0.33681643561829333,1,167.80970488234502,89.51782297267567,0.0,52.254400000000004,115.55530488234501,1.9933072250700667,3.8663842614290016,0.09151717734057738,1.6140435349672149,0.36828639864487794,16.77335667895223,1.31599182409007,0.0,0.014594809175303324,0.0
10,11.0,0.937596165843907,2.8817396105805417,166.8509314448239,379.70316888568766,LowClb,75.0,111902.97196510962,111902.97196510962,0.0403988042637052,0.5263590717312713,2.436614408790016,0.16245107888376392,0.15811837812272292,0.16290299097580768,1.2855423065215452,0.33426570499623665,1,166.8509314448239,88.27964850788742,0.0,52.254400000000004,114.59653144482392,2.1278002230455457,3.845179190071564,0.09323476640020678,1.8597523128628646,0.36412876353253976,16.677547897659103,1.3346449741893882,0.0,0.014594809175303324,0.0
11,12.0,1.001523177151446,3.107659074372831,167.21060948605356,379.30858982972524,LowClb,75.0,111902.97196510962,111902.97196510962,0.03775425257696748,0.49382392311875534,2.435798332948839,0.17010308043403363,0.18228621118897798,0.17044671168969375,1.2848004193932023,0.334081979005841,1,167.21060948605356,88.19082772217368,0.0,52.254400000000004,114.95620948605355,2.278282311407543,3.845403968182133,0.09599823554268656,2.1177798967586816,0.3638299392876251,16.713489406880054,1.3360031966458648,0.0,0.014594809175303324,0.0
12,13.0,1.065450188458985,3.33333517575557,168.966139816184,384.2823613196436,LowClb,75.0,111902.97196510962,111902.97196510962,0.03602377036223578,0.46906802718464063,2.4461675061859087,0.17787187485483155,0.2073560448731756,0.1780930559615866,1.294226940517811,0.33640896482799815,1,168.966139816184,89.31939698944907,0.0,52.254400000000004,116.71173981618401,2.449332017189366,3.8683094156665927,0.10000460413312418,2.3846188797995445,0.3676211096310937,16.88891566864153,1.3189463224983884,0.0,0.014594809175303324,0.0
13,14.0,1.1293771997665245,3.5588142122597155,171.25877814632022,391.2664320038342,LowClb,75.0,111902.97196510962,111902.97196510962,0.034699468099663774,0.44852135446904456,2.4607251502983285,0.18574531527398713,0.2336843943877045,0.18582962867842925,1.3074611624381929,0.33964899972493695,1,171.25877814632022,90.90383476221916,0.0,52.254400000000004,119.00437814632022,2.631307286276229,3.8997656489529677,0.1045214907146314,2.663702846933753,0.3729229608256096,17.118014076049576,1.2957142651729914,0.0,0.014594809175303324,0.0
14,15.0,1.1933042110740637,3.784131410626323,173.94148360187177,399.68298217992503,LowClb,75.0,111902.97196510962,111902.97196510962,0.03365860858730825,0.4311429573545061,2.478268300473983,0.19372575414989937,0.26126572461131226,0.19365844342411215,1.3234094807796966,0.34351290493511866,1,173.94148360187177,92.81321169004022,0.0,52.254400000000004,121.68708360187178,2.8233277161192167,3.9373504145019407,0.10945472968267493,2.9550006991361477,0.3792807686227557,17.386091119246725,1.2687716553467887,0.0,0.014594809175303324,0.0
